customer_id,business_name,industry,signup_date,plan,mrr,country,employee_size
cust_00001,Business_1,Marketplace,2026-01-18,Starter,29,USA,1-10
cust_00002,Business_2,Retail,2025-03-19,Growth,99,USA,51-200
cust_00003,Business_3,SaaS,2025-10-08,Starter,29,Canada,1-10
cust_00004,Business_4,E-commerce,2025-11-26,Starter,29,Canada,1-10
cust_00005,Business_5,E-commerce,2026-02-23,Growth,99,USA,51-200
cust_00006,Business_6,Retail,2026-02-23,Growth,99,USA,11-50
cust_00007,Business_7,Education,2026-03-08,Starter,29,USA,1-10
cust_00008,Business_8,Services,2025-07-17,Growth,99,India,51-200
cust_00009,Business_9,SaaS,2025-11-25,Pro,299,UK,11-50
cust_00010,Business_10,Services,2025-10-19,Growth,99,UK,51-200
cust_00011,Business_11,Retail,2026-03-13,Starter,29,USA,1-10
cust_00012,Business_12,E-commerce,2025-03-15,Starter,29,USA,1-10
cust_00013,Business_13,Marketplace,2025-08-13,Growth,99,USA,11-50
cust_00014,Business_14,E-commerce,2026-02-15,Pro,299,UK,51-200
cust_00015,Business_15,E-commerce,2026-02-19,Growth,99,USA,1-10
cust_00016,Business_16,Healthcare,2026-02-19,Growth,99,India,11-50
cust_00017,Business_17,Services,2026-01-31,Growth,99,USA,1-10
cust_00018,Business_18,SaaS,2025-12-16,Growth,99,Australia,1-10
cust_00019,Business_19,Services,2026-01-07,Starter,29,USA,1-10
cust_00020,Business_20,Services,2026-02-02,Growth,99,USA,1-10
cust_00021,Business_21,Marketplace,2025-11-22,Growth,99,Germany,11-50
cust_00022,Business_22,SaaS,2026-02-25,Growth,99,Canada,51-200
cust_00023,Business_23,E-commerce,2026-02-02,Starter,29,UK,1-10
cust_00024,Business_24,Retail,2026-01-20,Growth,99,USA,1-10
cust_00025,Business_25,Healthcare,2026-01-01,Growth,99,Germany,51-200
cust_00026,Business_26,E-commerce,2025-09-12,Growth,99,Canada,11-50
cust_00027,Business_27,E-commerce,2026-02-17,Growth,99,Canada,1-10
cust_00028,Business_28,SaaS,2025-12-19,Pro,299,USA,201-1000
cust_00029,Business_29,SaaS,2025-11-28,Starter,29,Germany,11-50
