dispute_id,transaction_id,customer_id,created_date,reason,status,amount
dsp_000001,txn_00000008,cust_02895,2026-03-23,not_as_described,pending,32.34
dsp_000002,txn_00000117,cust_02562,2026-01-03,product_not_received,lost,22.08
dsp_000003,txn_00000257,cust_03554,2026-01-19,fraudulent,lost,302.11
dsp_000004,txn_00000259,cust_03554,2026-03-31,unauthorized,won,8.35
dsp_000005,txn_00000425,cust_04566,2026-03-24,duplicate,lost,17.34
dsp_000006,txn_00000693,cust_01003,2025-08-31,not_as_described,won,58.58
dsp_000007,txn_00000770,cust_01003,2025-12-09,product_not_received,lost,52.51
dsp_000008,txn_00000947,cust_00817,2026-01-16,not_as_described,lost,22.34
dsp_000009,txn_00001004,cust_00817,2026-01-24,fraudulent,lost,13.53
dsp_000010,txn_00001580,cust_02067,2026-03-20,fraudulent,lost,12.06
dsp_000011,txn_00001585,cust_02067,2026-03-28,not_as_described,won,37.09
dsp_000012,txn_00001769,cust_03440,2025-09-16,product_not_received,lost,1.63
dsp_000013,txn_00001788,cust_03440,2025-12-17,duplicate,won,52.51
dsp_000014,txn_00001852,cust_02024,2026-03-14,fraudulent,lost,42.19
dsp_000015,txn_00001934,cust_01680,2025-12-10,product_not_received,won,72.84
dsp_000016,txn_00002043,cust_01680,2026-02-18,not_as_described,lost,107.49
dsp_000017,txn_00002121,cust_03445,2025-04-17,duplicate,lost,57.54
dsp_000018,txn_00002193,cust_03445,2025-07-01,fraudulent,lost,59.56
dsp_000019,txn_00002566,cust_04431,2026-02-04,fraudulent,lost,122.17
dsp_000020,txn_00002573,cust_04431,2026-01-18,fraudulent,lost,35.12
dsp_000021,txn_00002969,cust_01535,2026-04-05,unauthorized,pending,10.41
dsp_000022,txn_00003601,cust_00559,2025-10-30,not_as_described,won,22.6
dsp_000023,txn_00004102,cust_00462,2026-02-28,fraudulent,won,7.04
dsp_000024,txn_00004203,cust_00462,2026-01-29,duplicate,lost,16.04
dsp_000025,txn_00004385,cust_00220,2026-01-02,product_not_received,won,92.98
dsp_000026,txn_00004391,cust_00220,2026-03-18,product_not_received,lost,47.63
dsp_000027,txn_00004584,cust_03316,2025-11-26,product_not_received,pending,41.53
dsp_000028,txn_00004608,cust_04627,2026-02-09,product_not_received,lost,89.18
dsp_000029,txn_00004699,cust_04627,2026-02-24,not_as_described,lost,70.18
dsp_000030,txn_00004783,cust_04627,2026-03-22,not_as_described,lost,27.12
dsp_000031,txn_00005199,cust_01218,2025-12-07,fraudulent,won,218.72
dsp_000032,txn_00005476,cust_04150,2026-04-07,duplicate,lost,99.74
dsp_000033,txn_00005478,cust_04150,2026-01-29,product_not_received,pending,76.25
