ticket_id,customer_id,created_at,resolved_at,category,priority,satisfaction_score
tkt_000001,cust_00001,2026-01-19 00:00:00,2026-01-20 15:00:00,integration_help,medium,5
tkt_000002,cust_00001,2026-02-24 00:00:00,2026-02-24 05:00:00,payment_failure,high,2
tkt_000003,cust_00001,2026-01-29 00:00:00,2026-01-30 10:00:00,payment_failure,low,4
tkt_000004,cust_00001,2026-02-27 00:00:00,2026-03-05 22:00:00,integration_help,low,4
tkt_000005,cust_00002,2025-11-14 00:00:00,2025-11-15 21:00:00,integration_help,medium,4
tkt_000006,cust_00002,2025-05-02 00:00:00,2025-05-04 20:00:00,payment_failure,medium,4
tkt_000007,cust_00002,2025-10-27 00:00:00,2025-10-28 14:00:00,payout_delay,medium,5
tkt_000008,cust_00004,2026-02-02 00:00:00,2026-02-08 17:00:00,payment_failure,low,5
tkt_000009,cust_00005,2026-03-12 00:00:00,2026-03-13 01:00:00,fraud_alert,medium,4
tkt_000010,cust_00007,2026-03-11 00:00:00,2026-03-12 17:00:00,refund_request,low,4
tkt_000011,cust_00008,2026-01-08 00:00:00,2026-01-10 06:00:00,integration_help,medium,4
tkt_000012,cust_00011,2026-03-14 00:00:00,2026-03-16 16:00:00,billing_question,medium,1
tkt_000013,cust_00011,2026-03-14 00:00:00,2026-03-14 04:00:00,integration_help,urgent,5
tkt_000014,cust_00012,2025-05-02 00:00:00,2025-05-04 04:00:00,refund_request,medium,2
tkt_000015,cust_00012,2025-10-08 00:00:00,2025-10-09 04:00:00,payment_failure,medium,4
tkt_000016,cust_00013,2025-11-25 00:00:00,2025-11-25 05:00:00,api_error,high,1
tkt_000017,cust_00014,2026-02-18 00:00:00,2026-02-24 05:00:00,payment_failure,low,3
tkt_000018,cust_00015,2026-03-07 00:00:00,2026-03-07 19:00:00,payment_failure,high,5
tkt_000019,cust_00015,2026-03-11 00:00:00,2026-03-13 10:00:00,integration_help,medium,3
tkt_000020,cust_00015,2026-02-20 00:00:00,2026-02-20 01:00:00,payment_failure,urgent,3
tkt_000021,cust_00017,2026-02-26 00:00:00,2026-02-27 01:00:00,payment_failure,medium,3
tkt_000022,cust_00017,2026-02-14 00:00:00,2026-02-14 02:00:00,billing_question,urgent,1
tkt_000023,cust_00017,2026-02-19 00:00:00,2026-02-21 11:00:00,payment_failure,medium,4
tkt_000024,cust_00019,2026-01-09 00:00:00,2026-01-09 06:00:00,payment_failure,high,2
tkt_000025,cust_00020,2026-02-27 00:00:00,2026-02-27 20:00:00,integration_help,medium,3
tkt_000026,cust_00020,2026-02-08 00:00:00,2026-02-09 15:00:00,integration_help,medium,3
tkt_000027,cust_00022,2026-03-07 00:00:00,2026-03-07 18:00:00,api_error,high,3
tkt_000028,cust_00023,2026-03-01 00:00:00,2026-03-03 08:00:00,fraud_alert,low,1
tkt_000029,cust_00023,2026-02-18 00:00:00,2026-02-18 04:00:00,fraud_alert,urgent,2
tkt_000030,cust_00023,2026-02-10 00:00:00,2026-02-14 03:00:00,payment_failure,low,5
tkt_000031,cust_00023,2026-02-09 00:00:00,2026-02-10 19:00:00,payment_failure,medium,4
tkt_000032,cust_00024,2026-01-21 00:00:00,2026-01-21 08:00:00,integration_help,urgent,3
tkt_000033,cust_00024,2026-03-15 00:00:00,2026-03-20 13:00:00,payment_failure,low,2
tkt_000034,cust_00024,2026-01-23 00:00:00,2026-01-23 08:00:00,fraud_alert,urgent,1
tkt_000035,cust_00024,2026-01-28 00:00:00,2026-02-03 18:00:00,api_error,low,5
tkt_000036,cust_00026,2025-10-31 00:00:00,2025-10-31 22:00:00,integration_help,high,4
tkt_000037,cust_00027,2026-03-10 00:00:00,2026-03-10 02:00:00,payment_failure,urgent,3
tkt_000038,cust_00027,2026-02-28 00:00:00,2026-02-28 11:00:00,refund_request,high,2
tkt_000039,cust_00027,2026-02-20 00:00:00,2026-02-22 18:00:00,refund_request,medium,5
tkt_000040,cust_00027,2026-03-02 00:00:00,2026-03-04 13:00:00,refund_request,medium,1
tkt_000041,cust_00028,2026-01-06 00:00:00,2026-01-07 09:00:00,refund_request,medium,4
tkt_000042,cust_00028,2026-02-02 00:00:00,2026-02-02 07:00:00,account_setup,high,1
tkt_000043,cust_00028,2026-01-30 00:00:00,2026-01-31 00:00:00,integration_help,low,4
tkt_000044,cust_00028,2026-03-08 00:00:00,2026-03-08 08:00:00,payment_failure,urgent,4
tkt_000045,cust_00028,2026-01-21 00:00:00,2026-01-21 11:00:00,payment_failure,high,4
tkt_000046,cust_00029,2026-03-06 00:00:00,2026-03-06 14:00:00,account_setup,medium,5
tkt_000047,cust_00031,2026-02-11 00:00:00,2026-02-11 08:00:00,api_error,medium,2
tkt_000048,cust_00032,2026-03-02 00:00:00,2026-03-02 14:00:00,refund_request,high,5
tkt_000049,cust_00032,2026-03-03 00:00:00,2026-03-03 19:00:00,payment_failure,high,4
tkt_000050,cust_00033,2026-03-11 00:00:00,2026-03-13 03:00:00,fraud_alert,medium,4
tkt_000051,cust_00033,2026-03-10 00:00:00,2026-03-11 10:00:00,fraud_alert,low,5
tkt_000052,cust_00034,2026-01-16 00:00:00,2026-01-16 13:00:00,payment_failure,high,2
tkt_000053,cust_00034,2025-11-10 00:00:00,2025-11-12 15:00:00,payment_failure,medium,5
tkt_000054,cust_00036,2026-03-05 00:00:00,2026-03-05 19:00:00,payment_failure,high,4
tkt_000055,cust_00040,2026-02-25 00:00:00,2026-02-25 20:00:00,payment_failure,high,3
tkt_000056,cust_00040,2026-02-05 00:00:00,2026-02-05 15:00:00,billing_question,high,1
tkt_000057,cust_00040,2026-02-16 00:00:00,2026-02-16 22:00:00,payment_failure,high,4
tkt_000058,cust_00041,2026-03-10 00:00:00,2026-03-10 08:00:00,account_setup,medium,3
tkt_000059,cust_00041,2026-03-07 00:00:00,2026-03-11 13:00:00,payment_failure,low,5
tkt_000060,cust_00041,2026-03-15 00:00:00,2026-03-15 12:00:00,payout_delay,medium,1
tkt_000061,cust_00041,2026-03-04 00:00:00,2026-03-07 00:00:00,payment_failure,medium,3
tkt_000062,cust_00041,2026-03-01 00:00:00,2026-03-01 05:00:00,payment_failure,urgent,2
tkt_000063,cust_00042,2026-03-14 00:00:00,2026-03-14 22:00:00,payment_failure,high,3
tkt_000064,cust_00043,2026-03-15 00:00:00,2026-03-15 11:00:00,refund_request,high,2
tkt_000065,cust_00043,2026-03-14 00:00:00,2026-03-14 22:00:00,api_error,high,4
tkt_000066,cust_00043,2026-03-15 00:00:00,2026-03-16 13:00:00,payment_failure,low,5
tkt_000067,cust_00043,2026-03-13 00:00:00,2026-03-13 10:00:00,payment_failure,high,1
tkt_000068,cust_00043,2026-03-14 00:00:00,2026-03-14 21:00:00,payment_failure,high,4
tkt_000069,cust_00044,2026-01-15 00:00:00,2026-01-17 07:00:00,payment_failure,medium,5
tkt_000070,cust_00044,2025-06-09 00:00:00,2025-06-09 20:00:00,payment_failure,medium,5
tkt_000071,cust_00044,2025-10-23 00:00:00,2025-10-25 14:00:00,integration_help,medium,4
tkt_000072,cust_00048,2026-03-11 00:00:00,2026-03-13 08:00:00,billing_question,medium,4
tkt_000073,cust_00048,2026-01-29 00:00:00,2026-01-30 02:00:00,payment_failure,medium,5
tkt_000074,cust_00049,2026-01-22 00:00:00,2026-01-22 09:00:00,fraud_alert,high,4
tkt_000075,cust_00049,2026-03-13 00:00:00,2026-03-16 10:00:00,refund_request,low,5
tkt_000076,cust_00052,2026-01-13 00:00:00,2026-01-13 04:00:00,payment_failure,urgent,3
tkt_000077,cust_00053,2026-01-15 00:00:00,2026-01-15 19:00:00,billing_question,high,4
tkt_000078,cust_00054,2025-10-14 00:00:00,2025-10-16 22:00:00,refund_request,medium,4
tkt_000079,cust_00054,2026-03-12 00:00:00,2026-03-12 17:00:00,payment_failure,high,3
tkt_000080,cust_00054,2025-10-13 00:00:00,2025-10-13 09:00:00,payment_failure,high,3
tkt_000081,cust_00055,2026-01-25 00:00:00,2026-01-25 21:00:00,api_error,high,2
tkt_000082,cust_00055,2026-02-05 00:00:00,2026-02-09 05:00:00,fraud_alert,low,5
tkt_000083,cust_00057,2026-03-07 00:00:00,2026-03-08 10:00:00,refund_request,medium,4
tkt_000084,cust_00057,2026-03-09 00:00:00,2026-03-09 16:00:00,integration_help,high,2
tkt_000085,cust_00057,2026-03-05 00:00:00,2026-03-05 02:00:00,refund_request,urgent,4
tkt_000086,cust_00057,2026-03-08 00:00:00,2026-03-09 01:00:00,refund_request,medium,3
